last_name,first_name,scholar_id,title,author,journal,number,cites,year,cid,pubid,hc_affil
Knapp,Chuck,qA1rXb8AAAAJ,Iguana delicatissima,"M Breuil, M Day, C Knapp",The IUCN Red List of threatened species,,29,2010,16178450369058280716,IjCSPb-OGe4C,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,"Phylogeography of the Endangered Lesser Antillean Iguana, Iguana Delicatissima: A Recent Diaspora in an Archipelago Known for Ancient Herpetological …","JL Martin, CR Knapp, GP Gerber, RS Thorpe, ME Welch",Journal of Heredity,"106 (3), 315-321",28,2015,3664187935834990274,Zph67rFs4hoC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Inferred vs realized patterns of gene flow: an analysis of population structure in the Andros Island Rock Iguana,"G Colosimo, CR Knapp, LE Wallace, ME Welch",PloS one,"9 (9), e106963",26,2014,15786119402512307487,M3ejUd6NZC8C,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Complex tourism and season interactions contribute to disparate physiologies in an endangered rock iguana,"SS French, AC Webb, TE Wilcoxen, JB Iverson, DF DeNardo, EL Lewis, ...",Conservation Physiology,"10 (1), coac001",21,2022,13021279403234793423,nb7KW1ujOQ8C,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,"Host sex, size, and hemoparasite infection influence the effects of ectoparasitic burdens on free‐ranging iguanas","CR Knapp, C Perez‐Heydrich, TT Zachariah, J Jollay, AN Schnelle, ...",Ecology and Evolution,"9 (4), 1946-1956",20,2019,1359919933943495691,NMxIlDl6LWMC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Using non-conspicuous metrics to examine selected impacts of disturbance on a long-lived reptile,"CR Knapp, C Perez-Heydrich",Endangered Species Research,"17, 193-200",20,2012,5033021477992644198,UebtZRa9Y70C,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Phylogenomics and historical biogeography of West Indian rock iguanas (genus Cyclura),"RG Reynolds, AH Miller, SA Pasachnik, CR Knapp, ME Welch, ...",Molecular Phylogenetics and Evolution,"174, 107548",18,2022,3131945921628300088,WbkHhVStYXYC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Reptile-associated ticks from Dominica and the Bahamas with notes on hyperparasitic erythraeid mites,"LA Durden, CR Knapp, L Beati, S Dold",The Journal of Parasitology,"101 (1), 24-27",17,2015,9276915757292909426,YOwf2qJgpHMC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,High sugar diet alters immune function and the gut microbiome in juvenile green iguanas (Iguana iguana),"KC Ki, EL Lewis, E Wu, FJ Oliaro, LM Aubry, CR Knapp, KM Kapheim, ...",Journal of Experimental Biology,"227 (13), jeb246981",15,2024,15923783763335603998,LPZeul_q3PIC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,From pets to threats: Invasive iguanas and other species cause significant harm to native iguanas,"G Perry, CR Knapp, TD Grant, SA Pasachnik, I Coman",Reptiles & Amphibians,"28 (2), 213-217",15,2021,17871983686391292565,NhqRSupF_l8C,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,"Ocular health assessment, tear production, and intraocular pressure in the Andros Island iguana (Cyclura cychlura cychlura)","KB Wojick, LM Naples, CR Knapp",Journal of Zoo and Wildlife Medicine,"44 (1), 116-123",15,2013,13381740649103821704,KlAtU1dfN6UC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Cyclura cychlura,"CR Knapp, JB Iverson, S Buckner",The IUCN red list of threatened species,1-10,15,2004,11372157067832605250,GnPB-g6toBAC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Iguana delicatissima. Ectoparasitism.,"CR Knapp, LA Durden, H Klompen",Herpetological Review,"43 (1), 134",14,2012,4152592153157268398,fPk4N6BV_jEC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Glucose tolerance of iguanas is affected by high-sugar diets in the lab and supplemental feeding by ecotourists in the wild,"SS French, SB Hudson, AC Webb, CR Knapp, EE Virgin, GD Smith, ...",Journal of Experimental Biology,"225 (8), jeb243932",12,2022,7723928131606575762,Tiz5es2fbqcC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Advancing freshwater biodiversity conservation by collaborating with public aquaria,"KJ Murchie, CR Knapp, PB McIntyre",Fisheries,"43 (4), 172-178",11,2018,9775847373815881612,r0BpntZqJG4C,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Correlated population genetic structure in a three-tiered host-parasite system: the potential for coevolution and adaptive divergence,"G Colosimo, AC Jackson, A Benton, A Varela-Stokes, J Iverson, ...",Journal of Heredity,"112 (7), 590-601",10,2021,17331700020489754321,1sJd4Hv_s6UC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,"Great Lakes Fish Finder App; a tool for biologists, managers and education practitioners","A Happel, KJ Murchie, PW Willink, CR Knapp",Journal of Great Lakes Research,"46 (1), 230-236",9,2020,5617277194341834851,vV6vV6tmYwMC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,"Influence of morphological, chemical and physical leaf traits on food selection of a herbivorous iguana from The Bahamas","CR Knapp, S Alvarez-Clare",Journal of Tropical Ecology,"32 (1), 75-78",9,2016,7677586444710021937,Wp0gIr-vW9MC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,"Trafficking of Galápagos iguanas as an example of a global problem: CITES permits, laundering and the role of transit countries in Europe and Africa","M Auliya, V Nijman, S Altherr, WT Aguilera, D Ariano-Sanchéz, JC Cantu, ...",Biological Conservation,"305, 111104",8,2025,9562092022332832817,VOx2b1Wkg3QC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Blood chemistry and biliverdin differ according to reproduction and tourism in a free-living lizard,"SS French, EL Lewis, KC Ki, ZE Cullen, AC Webb, CR Knapp, JB Iverson, ...",Journal of Comparative Physiology B,"193 (3), 315-328",8,2023,6750730909246420540,08ZZubdj9fEC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,The complete mitochondrial genome of the critically endangered Lesser Antillean iguana (Iguana delicatissima; Squamata: Iguanidae),"AH Miller, A C. Jackson, MP van den Burg, CR Knapp, ME Welch, ...",Mitochondrial DNA Part B,"4 (2), 2479-2481",7,2019,10530753019232813057,NaGl4SEjCO4C,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Biosecurity for humanitarian aid,"MP van den Burg, JC Daltry, B Angin, E Boman, JLK Brisbane, K Collins, ...",Science,"372 (6542), 581-582",6,2021,12052165739707085232,b0M2c_1WBrUC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Cyclura cychlura figginsi (Exuma Island Iguana). Rodent kill,"B Luther, C Knapp, D Greene, S Buckner, J Iverson",Herpetological Review,"43 (1), 48",6,2012,4855008652994609798,R3hNpaxXUhUC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Lesser Antillean Iguana,"C Knapp, M Breuil, C Rodrigues, I Iverson","Iguana delicatissima: conservation action plan. IUCN, Switzerland",,5,2014,5082191808537122537,HoB7MX3m0LUC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,"Iguanas: Biology, systematics, and conservation","JB Iverson, TD Grant, CR Knapp, SA Pasachnik",Herpetological Conservation and Biology,11 (6),4,2016,10533149385911543488,70eg2SAEIzsC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Evaluating the role of temperature in the reproduction of the yellow stingray (Urobatis jamaicensis),"TC Lesniak, AE Schirmer, CR Knapp",Zoo Biology,"34 (1), 33-39",4,2015,10483715752945564928,_kc_bZDykSQC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,"Ultrasound evidence of fetal resorption in the yellow stingray, Urobatis jamaicensis (Urotrygonidae)","TC Lesniak, AE Schirmer, CR Knapp",Cybium,"37 (4), 314-316",4,2013,5628486894860595098,kNdYIx-mwKoC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Cyclura cychlura,"JB Iverson, S Pasachnik, CR Knapp, SD Buckner",Society for the Study of Amphibians and Reptiles,,4,2006,11278158220759246593,hC7cP41nSMkC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,The effects of anthropogenic noise on frogs housed on exhibit at a public aquarium,"C Angel, M Romano, CR Knapp",Zoo Biology,"43 (3), 276-286",3,2024,17095067534298094175,geHnlv5EZngC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Staying high and dry: A unique nesting strategy for an insular iguana,CR Knapp,Frontiers in Ecology and the Environment,"13 (2), 114-115",3,2015,16223803758347177794,qxL8FJ1GzNcC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Varied response of garden eels to potential predators and other large-bodied organisms,"ST Kessel, NA Hinojosa, H Wilson, G Clementi, CR Knapp",Matters,4 (7),2,2018,3048408204610231884,YFjsv_pBGBYC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Multi‐Year Assessment of the Effects of Tourism on Physiological Parameters of the Northern Bahamian Rock Iguana (Cyclura cychlura),"EL Lewis, AC Webb, LM Aubry, SB Hudson, DF DeNardo, JB Iverson, ...",Journal of Experimental Zoology Part A: Ecological and Integrative Physiology,,1,2026,16844330259452622198,mvPsJ3kp5DgC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Two Centers for Species Survival launch collaborative conservation programmes,"S Alvarez-Clare, K Mileham, JP Rodríguez, CR Knapp",Oryx,"57 (5), 553-553",1,2023,13776312260909106986,4fKUyHm3Qg0C,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,"New records of freshwater mussels (Unionida, Unionidae and Mycetopodidae) from rivers, lakes, and lagoons in El Salvador, with notes on the expansion of invasive mollusc species","JE Barraza, V Melara, Y Quintana, CR Knapp, K Inoue",Check List,"22 (4), 618-629",0,2026,NA,V3AGJWp-ZtQC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Reptiles,"N Christensen, J., Galeotti, P., Knapp, C.R., Mathevon",Exploring Animal Behavior Through Sound: Volume,"2, 171-222",0,2025,NA,J-pR_7NvFogC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Cyclura cychlura figginsi. Polydactyly,"C Knapp, S.S. French, K. Kapheim, E. Lewis, J. Jollay, F. Oliaro, C. Kwit",Herpetological Review,"53 (1), 131",0,2022,NA,p2g8aNsByqUC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Útila spiny-tailed iguana (Ctenosaura bakeri): Conservation Action Plan 2020–2025,"TDG Maryon, D., S.A. Pasachnik, C.R. Knapp, T.W. Brown",,,0,2021,NA,CHSYGLWDkRkC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Beyond the walls: Applied field research for the twenty-first-century public aquarium and zoo,CR Knapp,The Ark and Beyond: The Evolution of Zoo and Aquarium Conservation,286-297,0,2018,NA,bEWYMUwI8FkC,TRUE
Knapp,Chuck,qA1rXb8AAAAJ,Inferred vs Realized Patterns of Gene Flow: An Analysis of Population Structure in the Andros Island,"G Colosimo, CR Knapp, LE Wallace, ME Welch",,,0,2014,NA,l7t_Zn2s7bgC,TRUE
Willink,Philip,zuUEUCYAAAAJ,Peces,"M Hidalgo, P Willink","C. Vriesendorp, N. Pitman, J. I. Rojas M., BA Pawlak, L. Rivera C., L …",,25,2006,3216473187747841478,zA6iFVUQeVQC,TRUE
Willink,Philip,zuUEUCYAAAAJ,Range expansions and new drainage records for select Illinois fishes.,"JS Tiemann, CA Taylor, D Wylie, J Lamer, PW Willink, FM Veraldi, ...",Transactions of the Illinois State Academy of Science,"108, 47",21,2015,14236560656513618173,hMod-77fHWUC,TRUE
Willink,Philip,zuUEUCYAAAAJ,"Diets, population structure, and seasonal activity patterns of mudpuppies (Necturus maculosus) in an urban, Great Lakes coastal habitat","AM Beattie, MR Whiles, PW Willink",Journal of Great Lakes Research,"43 (1), 132-143",20,2017,14029295207061552848,dhFuZR0502QC,TRUE
Willink,Philip,zuUEUCYAAAAJ,Diel timing of lake sturgeon (Acipenser fulvescens) activity revealed by satellite tags in the Laurentian Great Lake Basin,"AS Kough, GR Jacobs, D Gorsky, PW Willink",Journal of Great Lakes Research,"44 (1), 157-165",18,2018,11214618815825381117,ZeXyd9-uunAC,TRUE
Willink,Philip,zuUEUCYAAAAJ,Rapid expansion of banded killifish Fundulus diaphanus across northern Illinois: dramatic recovery or invasive species?,"PW Willink, TA Widloe, VJ Santucci Jr, D Makauskas, JS Tiemann, ...",The American Midland Naturalist,179-190,15,2018,1639991801297076519,hC7cP41nSMkC,TRUE
Willink,Philip,zuUEUCYAAAAJ,"Does seawater acidification affect zooxanthellae density and health in the invasive upside‐down jellyfish, Cassiopea spp.?","C Weeks, S Meagher, P Willink, KW McCravy",Invertebrate Biology,"138 (3), e12255",13,2019,1155439626585974579,4JMBOYKVnBMC,TRUE
Willink,Philip,zuUEUCYAAAAJ,Biogeography and distribution of the cryptic species rosyface shiner Notropis rubellus and carmine shiner Notropis percobromus in Illinois,"RJ Scott, PW Willink, BM Norton",Ichthyology & Herpetology,"106 (3), 524-531",1,2018,17356851788243287912,hFOr9nPyWt4C,TRUE
Larson,Eric,bv0ezf0AAAAJ,Environmental DNA (eDNA) detects the invasive rusty crayfish Orconectes rusticus at low abundances,"MM Dougherty, ER Larson, MA Renshaw, CA Gantz, SP Egan, ...",Journal of Applied Ecology,"53 (3), 722-732",302,2016,4269894332220390116,eQOLeE2rZwMC,TRUE
Larson,Eric,bv0ezf0AAAAJ,Environmental DNA (eDNA) detects the invasive crayfishes Orconectes rusticus and Pacifastacus leniusculus in large lakes of North America,"ER Larson, MA Renshaw, C Gantz, J Umek, S Chandra, DM Lodge, ...",Hydrobiologia,800 (1),141,2017,3971331168817554842,Y0pCki6q_DkC,TRUE
Larson,Eric,bv0ezf0AAAAJ,Quantifying the contribution of zoos and aquariums to peer-reviewed scientific research,"TL Loh, ER Larson, SR David, LS de Souza, R Gericke, M Gryzbek, ...",FACETS,"3 (1), 287-299",76,2018,15999638482949485151,bEWYMUwI8FkC,TRUE
Larson,Eric,bv0ezf0AAAAJ,Do invasive rusty crayfish (Orconectes rusticus) decouple littoral and pelagic energy flows in lake food webs?,"TA Kreps, ER Larson, DM Lodge",Freshwater Science,"35 (1), 103-113",48,2016,2098755865585497237,2osOgNQ5qMEC,TRUE
Larson,Eric,bv0ezf0AAAAJ,"Comparison of 13C and 15N discrimination factors and turnover rates between congeneric crayfish Orconectes rusticus and O. virilis (Decapoda, Cambaridae)","MG Glon, ER Larson, KL Pangle",Hydrobiologia,"768 (1), 51-61",39,2016,7955871126484834053,ULOm3_A8WrAC,TRUE
Larson,Eric,bv0ezf0AAAAJ,Historical biogeography of Pacifastacus crayfishes and their branchiobdellidan and entocytherid ectosymbionts in western North America,"ER Larson, BW Williams",Freshwater crayfish: A global overview,404-447,25,2015,9890204926257194567,YOwf2qJgpHMC,TRUE
Dahlgren,Craig,AYVy81IAAAAJ,Census of heat tolerance among Florida's threatened staghorn corals finds resilient individuals throughout existing nursery populations,"R Cunning, KE Parker, K Johnson-Sapp, RF Karp, AD Wen, ...",Proceedings of the Royal Society B: Biological Sciences,"288 (1961), 20211613",103,2021,14910879262571904523,RGFaLdJalmkC,TRUE
Dahlgren,Craig,AYVy81IAAAAJ,"Contemporary and emerging fisheries in The Bahamas—Conservation and management challenges, achievements and future directions","KD Sherman, AD Shultz, CP Dahlgren, C Thomas, E Brooks, A Brooks, ...",Fisheries Management and Ecology,"25 (5), 319-331",81,2018,8012242876189246955,YOwf2qJgpHMC,TRUE
Dahlgren,Craig,AYVy81IAAAAJ,Heat-driven functional extinction of Caribbean Acropora corals from Florida’s Coral Reef,"DP Manzello, R Cunning, RF Karp, AC Baker, E Bartels, R Bonhag, ...",Science,"390 (6771), 361-366",80,2025,16341030196073537543,4OULZ7Gr8RgC,TRUE
Dahlgren,Craig,AYVy81IAAAAJ,"Spatial connectivity and drivers of shark habitat use within a large marine protected area in the Caribbean, The Bahamas Shark Sanctuary","AJ Gallagher, ON Shipley, MPM van Zinnicq Bergmann, ...",Frontiers in Marine Science,"7, 608848",65,2021,8397774730390519995,R3hNpaxXUhUC,TRUE
Dahlgren,Craig,AYVy81IAAAAJ,RAD-Seq Analysis and in situ Monitoring of Nassau Grouper Reveal Fine-Scale Population Structure and Origins of Aggregating Fish,"KD Sherman, JR Paris, RA King, KA Moore, CP Dahlgren, LC Knowles, ...",Frontiers in Marine Science,"7, 157",42,2020,2705543855305250558,Tyk-4Ss8FVUC,TRUE
Dahlgren,Craig,AYVy81IAAAAJ,"Characterization of a thermally tolerant Orbicella faveolata reef in Abaco, The Bahamas","KE Parker, JO Ward, EM Eggleston, E Fedorov, JE Parkinson, ...",Coral Reefs,"39 (3), 675-685",35,2020,18019374311283639426,blknAaTinKkC,TRUE
Dahlgren,Craig,AYVy81IAAAAJ,Historical Processes and Contemporary Anthropogenic Activities Influence Genetic Population Dynamics of Nassau Grouper (Epinephelus striatus) within The …,"KD Sherman, RA King, CP Dahlgren, SD Simpson, JR Stevens, CR Tyler",Frontiers in Marine Science,"4, 393",14,2017,9674175448286396068,Wp0gIr-vW9MC,TRUE
Dahlgren,Craig,AYVy81IAAAAJ,Book review,"AJ Sober, VC Ho",Journal of the American Academy of Dermatology,"21 (3), 598",0,1989,NA,SeFeTyx0c_EC,TRUE
Tewfik,Alex,gCOl8vsAAAAJ,Variation in ghost crab trophic links on sandy beaches,"K Morrow, SS Bell, A Tewfik",Marine Ecology Progress Series,"502, 197-206",33,2014,489173939685435240,ULOm3_A8WrAC,TRUE
Tewfik,Alex,gCOl8vsAAAAJ,Species in wildlife trade: socio-economic factors influence seahorse relative abundance in Thailand,"TL Loh, A Tewfik, L Aylesworth, R Phoonsawat",Biological Conservation,"201, 301-308",14,2016,4334846840773506280,mVmsd5A6BfQC,TRUE
Tewfik,Alex,gCOl8vsAAAAJ,"Ecology of the King Helmet, Cassis tuberosa (L.), in South Caicos","A Tewfik, B Scheuer",Caribbean Naturalist,"2, 1-10",10,2013,2441617759837962074,TQgYirikUcIC,TRUE
Tewfik,Alex,gCOl8vsAAAAJ,The influence of waves on landing patterns within a diverse Sumatran spiny lobster (Panulirus spp.) fishery,A Tewfik,New Zealand Journal of Marine and Freshwater Research,"48 (2), 245-255",9,2014,15376148161307511567,_kc_bZDykSQC,TRUE
Tewfik,Alex,gCOl8vsAAAAJ,Queen conch aquaculture remains a conservation symbol and is not yet a fisheries solution,"A Kough, S Matsuda, R Appeldoorn, E Boman, K Galassini, G Delgado, ...",Oryx,"58 (6), 700-709",3,2024,9423047611027191004,GnPB-g6toBAC,TRUE
Loh,Tse-Lynn,3f0JulwAAAAJ,Chemical defenses and resource trade-offs structure sponge communities on Caribbean coral reefs,"TL Loh, J Pawlik",PNAS,,207,2014,4452292285981460584,YsMSGLbcyi4C,TRUE
Loh,Tse-Lynn,3f0JulwAAAAJ,Indirect effects of overfishing on Caribbean reefs: sponges overgrow reef-building corals,"TL Loh, SE McMurray, TP Henkel, J Vicente, JR Pawlik",PeerJ,"3, e901",167,2015,"13124793604172325227,16944660837837691266",ufrVoPGSRksC,TRUE
Loh,Tse-Lynn,3f0JulwAAAAJ,"Linking land, air and sea: potential impacts of biomass burning and the resultant haze on marine ecosystems of Southeast Asia.","Z Jaafar, TL Loh",Global Change Biology,"20 (9), 2701",39,2014,13313734253531176499,eQOLeE2rZwMC,TRUE
Loh,Tse-Lynn,3f0JulwAAAAJ,"New records of the Japanese seahorse Hippocampus mohnikei in Southeast Asia lead to updates in range, habitat and threats","L Aylesworth, JM Lawson, P Laksanawimol, P Ferber, TL Loh","Journal of Fish Biology, Early View",,26,2016,16881465391853357798,roLk4NBRz8UC,TRUE
Loh,Tse-Lynn,3f0JulwAAAAJ,Seahorses (Hippocampus spp.) as a case study for locating cryptic and data-poor marine fishes for conservation,"L Aylesworth, TL Loh, W Rongrongmuang, ACJ Vincent",Animal Conservation,,14,2017,9464927292439232243,5nxA0vEk-isC,TRUE
Loh,Tse-Lynn,3f0JulwAAAAJ,Turning the tide on bottom trawling,"TL Loh, Z Jaafar",Wiley-Blackwell,,12,2015,7592625961371873277,_FxGoFyzp5QC,TRUE
David,Solomon,haoxpBMAAAAJ,Pattern and scale in latitude–production relationships for freshwater fishes,"AL Rypel, SR David",Ecosphere,"8 (1), e01660",63,2017,7651356768296539656,ULOm3_A8WrAC,TRUE
David,Solomon,haoxpBMAAAAJ,Evidence of countergradient variation in growth of Spotted Gars from core and peripheral populations,"SR David, RS Kik IV, JS Diana, ES Rutherford, MJ Wiley",Transactions of the American Fisheries Society,"144 (4), 837-850",24,2015,14542101641250068706,8k81kl-MbHgC,TRUE
David,Solomon,haoxpBMAAAAJ,Laboratory Estimation of Net Trophic Transfer Efficiencies of PCB Congeners to Lake Trout (Salvelinus namaycush) from Its Prey,"CP Madenjian, RR Rediske, JP O'Keefe, SR David","JoVE (Journal of Visualized Experiments), e",e51496,1,2014,10837607122919697682,UebtZRa9Y70C,TRUE
David,Solomon,haoxpBMAAAAJ,Spotted Gar,SR David,Fisheries,"42 (8), 448-448",0,2017,NA,M3ejUd6NZC8C,TRUE
Kough,Andrew,QzwgKJ0AAAAJ,Biophysical connectivity explains population genetic structure in a highly dispersive marine species,"NK Truelove, AS Kough, DC Behringer, CB Paris, SJ Box, RF Preziosi, ...",Coral Reefs,"36 (1), 233-244",90,2017,5794291265124098093,Tyk-4Ss8FVUC,TRUE
Kough,Andrew,QzwgKJ0AAAAJ,Tiger sharks support the characterization of the world’s largest seagrass ecosystem,"AJ Gallagher, JW Brownscombe, NA Alsudairy, AB Casagrande, C Fu, ...",Nature Communications,"13 (1), 6328",68,2022,5348745809578776656,YOwf2qJgpHMC,TRUE
Kough,Andrew,QzwgKJ0AAAAJ,Relationships between Fishing Pressure and Stock Structure in Queen Conch (Lobatus gigas) Populations: Synthesis of Long-Term Surveys and Evidence for …,"AW Stoner, MH Davis, AS Kough",Reviews in Fisheries Science & Aquaculture,"27 (1), 51-71",58,2019,13866143358461866705,LkGwnXOMwfcC,TRUE
Kough,Andrew,QzwgKJ0AAAAJ,Decadal analysis of larval connectivity from Cuban snapper (Lutjanidae) spawning aggregations based on biophysical modeling,"AS Kough, R Claro, KC Lindeman, CB Paris",Marine Ecology Progress Series,"550, 175-190",56,2016,13844576553815958321,qjMakFHDy7sC,TRUE
Kough,Andrew,QzwgKJ0AAAAJ,Isolation by oceanic distance and spatial genetic structure in an overharvested international fishery,"NK Truelove, SJ Box, KA Aiken, A Blythe‐Mallett, EM Boman, CJ Booker, ...",Diversity and Distributions,"23 (11), 1292-1300",45,2017,2480012918690509593,W7OEmFMy1HYC,TRUE
Kough,Andrew,QzwgKJ0AAAAJ,Efficacy of an established marine protected area at sustaining a queen conch Lobatus gigas population during three decades of monitoring,"AS Kough, H Cronin, R Skubel, CA Belak, AW Stoner",Marine Ecology Progress Series,"573, 177-189",44,2017,8806335222441399509,Y0pCki6q_DkC,TRUE
Kough,Andrew,QzwgKJ0AAAAJ,Climate and season are associated with prevalence and distribution of trans-hemispheric blue crab reovirus (Callinectes sapidus reovirus 1),"M Zhao, DC Behringer, J Bojko, AS Kough, L Plough, ...",Marine Ecology Progress Series,"647, 123-133",28,2020,8472216238433530263,8k81kl-MbHgC,TRUE
Kough,Andrew,QzwgKJ0AAAAJ,Biophysical connectivity of snapper spawning aggregations and marine protected area management alternatives in Cuba,"R Claro, KC Lindeman, AS Kough, CB Paris",Fisheries oceanography,"28 (1), 33-42",17,2019,7420558016112410861,_FxGoFyzp5QC,TRUE
Kough,Andrew,QzwgKJ0AAAAJ,A Review of American Lobster (Homarus americanus) Research Since 2000,"JS Goldstein, BC Gutzler, AS Kough, JT Carloni, AM Dayton, ...",Reviews in Fisheries Science & Aquaculture,"34 (1), 1-56",14,2026,17639294772455696371,Wp0gIr-vW9MC,TRUE
Kough,Andrew,QzwgKJ0AAAAJ,"Spatial dependency in abundance of Queen conch, Aliger gigas, in the Caribbean, indicates the importance of surveying deep‐water distributions","EM Boman, M De Graaf, AS Kough, A Izioka‐Kuramae, AF Zuur, A Smaal, ...",Diversity and Distributions,"27 (11), 2157-2169",12,2021,8173997642800103580,kNdYIx-mwKoC,TRUE
Kough,Andrew,QzwgKJ0AAAAJ,Rapid Genetic Identification of the Blue Crab Callinectes sapidus and Other Callinectes spp. Using Restriction Enzyme Digestion and High Resolution Melt (HRM …,"BB Lee, EJ Schott, DC Behringer, J Bojko, A Kough, LV Plough",Frontiers in Marine Science,"7, 633",11,2020,12050361407445553190,5nxA0vEk-isC,TRUE
Kough,Andrew,QzwgKJ0AAAAJ,"Queen Conch Lobatus gigas population estimates and age structure suggest a potential natural refuge on the Cay Sal Bank, The Bahamas","PM Souza Jr, AS Kough",Aquatic Conservation: Marine and Freshwater Ecosystems,"30 (7), 1276-1290",9,2020,15754905615247144315,0EnyYjriUFMC,TRUE
